Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Original Nominations (1000 m3/d),Accepted Nominations (1000 m3/d),Apportionment Percentage
1,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.1,,0.0
2,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.1,,0.0
3,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.1,,0.0
4,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.05,,0.0
5,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.06,,0.0
6,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.05,,0.0
7,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.5,,0.0
8,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.6,,0.0
9,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,0.5,,0.0
10,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.31,,0.0
11,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.35,,0.0
12,2018,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.55,,0.0
4,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.4833333333333332,,0.0
5,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.4193548387096773,,0.0
6,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.5933333333333333,,0.0
7,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.5,,0.0
8,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.4,,0.0
9,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.4,,0.0
10,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.195,,0.0
11,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.433,,0.0
12,2019,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,1.403225806451613,,0.0
1,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.7,,0.0
2,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.5,,0.0
3,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.7,,0.0
4,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.5,,0.0
5,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.4,,0.0
6,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.3,,0.0
7,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.5,,0.0
8,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
9,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
10,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.3,,0.0
11,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.4,,0.0
12,2007,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.5,,0.0
1,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.3,,0.0
2,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
3,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.0,,0.0
4,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
5,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
6,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.0,,0.0
7,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
8,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.3,,0.0
9,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
10,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
11,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
12,2008,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
1,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
2,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
3,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
4,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
5,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
6,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
7,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.0,,0.0
8,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
9,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
10,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.8,,0.0
11,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.0,,0.0
12,2009,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.3,,0.0
1,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
2,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
3,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.3,,0.0
4,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
5,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.5,,0.0
6,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
7,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,1.3,,0.0
8,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
9,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.0,,0.0
10,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.5,,0.0
11,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
12,2010,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
1,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.1,,0.0
2,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.7,,0.0
3,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
4,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.9,,0.0
5,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,0.2,,0.0
6,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,0.6,,0.0
7,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,0.8,,0.0
8,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,0.8,,0.0
9,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
10,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,3.2,,0.0
11,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.6,,0.0
12,2011,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.852,2.6,,0.0
