Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51717.21232404102,48884.19921875,1973513.8109496236
2,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51733.31091345693,48708.1015625,1968322.0619009733
3,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51748.75089026959,48355.30078125,1964453.4626258165
4,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51763.527544930774,49248.5,1999267.5283412933
5,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51777.63637022068,49377.80078125,2000304.6099216044
6,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51791.07306262289,48571.6015625,1967702.0154291391
7,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51803.83352363698,47770.80078125,1935414.8302253336
8,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51815.91386102867,48405.80078125,1961557.994080931
9,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51827.310390017,49452.0,1975602.344329834
10,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51838.019634398355,49155.3984375,1969784.6842310429
11,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51848.03832760674,48324.5,1926069.521287918
12,1,2006,Alliance Pipeline Limited Partnership,Alliance Pipeline,Border,49,-101.588,southeast,export,51857.36341371012,47855.0,1914396.24376297
