Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,7,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,3165.434194,117880.0951
1,8,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,4449.539032,165699.8858
1,9,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,3092.881,115178.2296
1,10,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,4665.274194,173733.8172
1,11,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,5173.447333,192658.0767
1,12,2009,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,9407.57871,350336.2272
1,1,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,12370.16742,460662.3997
1,2,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,9067.963214,337689.0185
1,3,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,4403.862903,163998.9164
1,4,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,3812.184,141964.9201
1,5,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,4521.678065,168386.328
1,6,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,4134.677667,153974.5156
1,7,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,4041.564839,150507.0137
1,8,2010,Emera Brunswick Pipeline Company Ltd.,Brunswick Pipeline,system,,,west,export,28317.0,3328.814516,123964.3435
