Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
7,2014,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,0.5328330779476064,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
7,2014,PKM Cochin ULC,Cochin,Regina,50.466,-104.718,east,import,refined petroleum products,0.014601187488371161,,,
7,2014,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0013693421353688452,,12.083033973516851,
8,2014,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,0.5771854029913129,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
8,2014,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
9,2014,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,10.899463698776733,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
9,2014,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
10,2014,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,11.33209597800058,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
10,2014,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
11,2014,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,10.217948785212565,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
11,2014,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
12,2014,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.105450458147773,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
12,2014,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,88.23794546449805,,12.083033973516851,
1,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.88727886849013,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
1,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
2,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.081116427822714,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
2,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
3,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,12.670543293056838,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
3,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
4,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.7707052458863,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
4,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
5,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.023761763270773,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
5,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
6,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,11.409049757880899,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
6,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
7,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.309349092139742,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
7,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
8,2015,PKM Cochin ULC,Cochin,Ft. Saskatchewan,53.75,-113.17,west,import,condensate,13.113515387558266,,15.103792466896063,"The Canadian portion of the Cochin pipeline has a higher nameplate capacity as compared to the US portion of Cochin.  Since Kankakee, IL, USA is currently the sole receipt point into Cochin, the Canadian Cochin capacity is restricted by the US Cochin nameplate capacity of 95,000 barrels per day"
8,2015,PKM Cochin ULC,Cochin,Windsor,42.28,-83.077,east,import,refined petroleum products,0.0,,12.083033973516851,
