Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,3.8013161290322524,123.1,118.5,A
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,13.440058064516128,123.1,118.5,A
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,48.752793548387096,123.1,118.5,A
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,65.79820645161293,324.4,288.1,A
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,44.38757096774192,324.4,288.1,A
1,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,139.28845806451613,324.4,288.1,A
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,2.290914285714285,123.1,124.1,A
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,13.029292857142863,123.1,124.1,A
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,47.017314285714306,123.1,124.1,A
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,60.57404285714287,324.4,291.3,A
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,42.71000714285715,324.4,291.3,A
2,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,132.5968642857143,324.4,291.3,A
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,3.194361290322583,123.1,123.9,A
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,7.7567999999999975,123.1,123.9,A
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,46.78740645161286,123.1,123.9,A
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,67.10769032258062,324.4,298.1,A
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,44.91285161290317,324.4,298.1,A
3,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,118.53275806451607,324.4,298.1,A
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,2.085503333333334,123.1,124.7,A
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,11.775739999999999,123.1,124.7,A
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,43.24494333333333,123.1,124.7,A
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,69.16833666666672,324.4,293.0,A
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,41.46723666666665,324.4,293.0,A
4,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,123.12163000000005,324.4,293.0,A
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,2.611619354838709,123.1,117.8,A
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,15.496096774193555,123.1,117.8,A
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,44.237164516129006,123.1,117.8,A
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,53.54726129032259,324.4,287.3,A
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,39.76001612903223,324.4,287.3,A
5,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,127.23409354838715,324.4,287.3,A
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,3.28773333333333,123.1,124.0,A
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,15.235289999999996,123.1,124.0,A
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,50.16204333333333,123.1,124.0,A
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,48.66810333333332,324.4,278.0,A
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,45.94463,324.4,278.0,A
6,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,119.98546333333336,324.4,278.0,A
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,3.395790322580644,123.1,123.2,A
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,17.110909677419354,123.1,123.2,A
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,48.77336451612905,123.1,123.2,A
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,53.3161290322581,324.4,276.1,A
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,45.121561290322596,324.4,276.1,A
7,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,127.7620258064516,324.4,276.1,A
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,4.329793548387097,123.1,123.2,A
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,12.81555806451614,123.1,123.2,A
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,44.40497741935484,123.1,123.2,A
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,63.18540645161289,324.4,281.2,A
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,40.6898806451613,324.4,281.2,A
8,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,123.71349999999998,324.4,281.2,A
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,3.174673333333336,123.1,117.8,A
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic heavy,11.500940000000002,123.1,117.8,A
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,intracanada / export,domestic light / ngl,40.580429999999986,123.1,117.8,A
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,export,domestic light / ngl,73.01174666666667,324.4,281.7,A
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada,domestic light / ngl,37.94488999999998,324.4,281.7,A
9,2007,Enbridge Pipelines Inc.,Canadian Mainline,ex-Gretna,49.017,-97.556,east,intracanada / export,domestic heavy,116.43160999999989,324.4,281.7,A
10,2007,Enbridge Pipelines Inc.,Canadian Mainline,Into-Sarnia,42.953,-82.372,east,import,foreign light,3.470990322580638,123.1,120.9,A
