Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,37257.0,1408314.5999999999
2,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,36804.0,1391191.2
3,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,38386.0,1450990.7999999998
4,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,49761.0,1880965.7999999998
5,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,38902.0,1470495.5999999999
6,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,40892.0,1545717.5999999999
7,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44192.0,1670457.5999999999
8,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,43113.0,1629671.4
9,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,43995.0,1663010.9999999998
10,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44018.0,1663880.4
11,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44200.0,1670759.9999999998
12,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,43964.0,1661839.2
13,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,52007.0,1965864.5999999999
14,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,48767.0,1843392.5999999999
15,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,50249.0,1899412.2
16,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,50538.0,1910336.4
17,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,50959.0,1926250.2
18,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44721.0,1690453.7999999998
19,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,43097.0,1629066.5999999999
20,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44478.0,1681268.4
21,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,43272.0,1635681.5999999999
22,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44706.0,1689886.7999999998
23,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44971.0,1699903.7999999998
24,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45994.0,1738573.2
25,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44669.0,1688488.2
26,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45383.0,1715477.4
27,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,41384.0,1564315.2
28,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,39409.0,1489660.2
29,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,39021.0,1474993.7999999998
30,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,38541.0,1456849.7999999998
31,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,46815.0,1769606.9999999998
1,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,55670.0,2104326.0
2,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56386.0,2131390.8
3,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56076.0,2119672.8
4,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58003.0,2192513.4
5,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59384.0,2244715.1999999997
6,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,57747.0,2182836.5999999996
7,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,54918.0,2075900.4
8,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56288.0,2127686.4
9,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,55894.0,2112793.1999999997
10,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59460.0,2247588.0
11,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58890.0,2226042.0
12,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56581.0,2138761.8
13,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60540.0,2288412.0
14,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59063.0,2232581.4
15,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59127.0,2235000.5999999996
16,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58157.0,2198334.5999999996
17,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59583.0,2252237.4
18,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,57545.0,2175201.0
19,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59103.0,2234093.4
20,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58663.0,2217461.4
21,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56972.0,2153541.5999999996
22,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56984.0,2153995.1999999997
23,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59454.0,2247361.1999999997
24,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58942.0,2228007.5999999996
25,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60223.0,2276429.4
26,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58371.0,2206423.8
27,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56197.0,2124246.5999999996
28,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,55996.0,2116648.8
29,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,55442.0,2095707.5999999999
30,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,56050.0,2118690.0
31,1,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59197.0,2237646.5999999996
1,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,39692.0,1500357.5999999999
2,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,35856.0,1355356.7999999998
3,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,38031.0,1437571.7999999998
4,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,35504.0,1342051.2
5,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,35675.0,1348515.0
6,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,36226.0,1369342.7999999998
7,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,42121.0,1592173.7999999998
8,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,40477.0,1530030.5999999999
9,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45957.0,1737174.5999999999
10,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,47626.0,1800262.7999999998
11,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45240.0,1710071.9999999998
12,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45922.0,1735851.5999999999
13,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,50179.0,1896766.2
14,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,58280.0,2202984.0
15,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,54039.0,2042674.2
16,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,59273.0,2240519.4
17,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,60972.0,2304741.5999999996
18,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,59285.0,2240973.0
19,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,60679.0,2293666.1999999997
20,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,60499.0,2286862.1999999997
21,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,60058.0,2270192.4
22,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,61821.0,2336833.8
23,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,52136.0,1970740.7999999998
24,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,47959.0,1812850.2
25,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,44941.0,1698769.7999999998
26,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45014.0,1701529.2
27,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,45567.0,1722432.5999999999
28,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,41405.0,1565108.9999999998
1,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59662.0,2255223.5999999996
2,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,57172.0,2161101.5999999996
3,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59577.0,2252010.5999999996
4,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60128.0,2272838.4
5,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60126.0,2272762.8
6,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60463.0,2285501.4
7,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58421.0,2208313.8
8,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60320.0,2280096.0
9,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60068.0,2270570.4
10,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,61496.0,2324548.8
11,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,61138.0,2311016.4
12,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,61632.0,2329689.5999999996
13,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59337.0,2242938.5999999996
14,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,57903.0,2188733.4
15,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60610.0,2291058.0
16,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,58985.0,2229633.0
17,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59371.0,2244223.8
18,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59814.0,2260969.1999999997
19,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59718.0,2257340.4
20,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60219.0,2276278.1999999997
21,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60126.0,2272762.8
22,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59204.0,2237911.1999999997
23,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59660.0,2255148.0
24,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59730.0,2257794.0
25,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59520.0,2249856.0
26,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,60766.0,2296954.8
27,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,59033.0,2231447.4
28,2,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Monchy,49.0004,-107.544,southeast,export,66100.0,57027.0,2155620.5999999996
1,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,42788.0,1617386.4
2,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,41407.0,1565184.5999999999
3,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,40440.0,1528632.0
4,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,42617.0,1610922.5999999999
5,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,42319.0,1599658.2
6,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,43638.0,1649516.4
7,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,55867.0,2111772.5999999996
8,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,59720.0,2257416.0
9,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,62275.0,2353995.0
10,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,66370.0,2508786.0
11,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,67061.0,2534905.8
12,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,66633.0,2518727.4
13,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,64967.0,2455752.5999999996
14,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,60120.0,2272536.0
15,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,58447.0,2209296.5999999996
16,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,57471.0,2172403.8
17,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,56269.0,2126968.1999999997
18,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,52246.0,1974898.7999999998
19,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,52054.0,1967641.2
20,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,52576.0,1987372.7999999998
21,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,59864.0,2262859.1999999997
22,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,58321.0,2204533.8
23,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,55233.0,2087807.4
24,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,47922.0,1811451.5999999999
25,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,50622.0,1913511.5999999999
26,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,47730.0,1804193.9999999998
27,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,47646.0,1801018.7999999998
28,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,49166.0,1858474.7999999998
29,3,2006,Foothills Pipe Lines Ltd. (Foothills),Foothills System,Kingsgate,49.0015,-116.187,south,export,85000.0,46061.0,1741105.7999999998
