Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
7,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,15.072396612903225,,18.113609354838708,NEB/REGULATORY DIRECTIVE
7,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,3.041212741935484,,18.113609354838708,NEB/REGULATORY DIRECTIVE
8,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,15.129372225806451,,15.129372225806451,NEB/REGULATORY DIRECTIVE
8,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,0.0,,15.129372225806451,NEB/REGULATORY DIRECTIVE
9,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,25.03187643333333,,41.49568378114012,NEB/REGULATORY DIRECTIVE
9,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,0.0,,41.49568378114012,NEB/REGULATORY DIRECTIVE
10,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,20.710155903225804,,39.428848956792145,NEB/REGULATORY DIRECTIVE
10,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,2.8021369032258066,,39.428848956792145,NEB/REGULATORY DIRECTIVE
11,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,21.278071066666666,,43.88049319384933,NEB/REGULATORY DIRECTIVE
11,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,8.617268900000001,,43.88049319384933,NEB/REGULATORY DIRECTIVE
12,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,26.204267387096774,,35.613153896457426,NEB/REGULATORY DIRECTIVE
12,2010,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,9.067555516129033,,35.613153896457426,NEB/REGULATORY DIRECTIVE
1,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,33.7733784516129,,45.01293929032258,DOWNSTREAM RESTRICTIONS
1,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,11.239560838709679,,45.01293929032258,DOWNSTREAM RESTRICTIONS
2,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,41.73442,,67.79217857142858,DOWNSTREAM RESTRICTIONS
2,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,15.526015214285714,,67.79217857142858,DOWNSTREAM RESTRICTIONS
3,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,51.03871051612903,,74.40605367652714,DOWNSTREAM RESTRICTIONS
3,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,11.125722677419356,,74.40605367652714,DOWNSTREAM RESTRICTIONS
4,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,54.1707786,,72.18023155799854,DOWNSTREAM RESTRICTIONS
4,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,5.6312824,,72.18023155799854,DOWNSTREAM RESTRICTIONS
5,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,44.1820175483871,,73.92909179398528,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
5,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,6.165345064516129,,73.92909179398528,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
6,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,41.512328133333334,,68.0465619093026,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
6,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,9.546252899999999,,68.0465619093026,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
7,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,47.79143645161291,,66.13871437913522,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
7,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.344668451612904,,66.13871437913522,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
8,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,47.57148680645161,,62.95896849552295,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
8,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,14.11175448387097,,62.95896849552295,"DOWNSTREAM RESTRICTIONS , CURTAILMENT/INTERRUPTION"
9,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,47.67764523333334,,77.26782497177815,DOWNSTREAM RESTRICTIONS
9,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,28.64658766666666,,77.26782497177815,DOWNSTREAM RESTRICTIONS
10,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,41.978234161290324,,79.97060897284861,DOWNSTREAM RESTRICTIONS
10,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,28.918780838709676,,79.97060897284861,DOWNSTREAM RESTRICTIONS
11,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,53.21224086666667,,82.27842796666667,DOWNSTREAM RESTRICTIONS
11,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,29.0661871,,82.27842796666667,DOWNSTREAM RESTRICTIONS
12,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,56.35760622580646,,80.59673096774195,DOWNSTREAM RESTRICTIONS
12,2011,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,24.239124741935484,,80.59673096774195,DOWNSTREAM RESTRICTIONS
1,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.17109383870967,,85.069461,DOWNSTREAM RESTRICTIONS
1,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,22.898367161290324,,85.069461,DOWNSTREAM RESTRICTIONS
2,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,65.38353579310345,,86.544,DOWNSTREAM RESTRICTIONS
2,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,19.23253817241379,,86.544,DOWNSTREAM RESTRICTIONS
3,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.3188674516129,,85.55635529032259,"DOWNSTREAM RESTRICTIONS , FORCE MAJEURE"
3,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,23.23748783870968,,85.55635529032259,"DOWNSTREAM RESTRICTIONS , FORCE MAJEURE"
4,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,62.052203766666665,,79.05693763333332,DOWNSTREAM RESTRICTIONS
4,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.004733866666665,,79.05693763333332,DOWNSTREAM RESTRICTIONS
5,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,65.51881138709678,,84.312,DOWNSTREAM RESTRICTIONS
5,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,17.16477003225807,,84.312,DOWNSTREAM RESTRICTIONS
6,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,59.56884336666667,,85.32,DOWNSTREAM RESTRICTIONS
6,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic light,18.4037758,,85.32,DOWNSTREAM RESTRICTIONS
7,2012,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.9989,-97.9577,south,export,domestic heavy,55.40953729032258,,85.44,DOWNSTREAM RESTRICTIONS
