Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
1,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.573223276484229,,,
2,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.274023314330223,,,
3,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.693615300814499,,,
4,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.4976292801793325,,,
5,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.2892770218030676,,,
6,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.304735356866455,,,
7,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.237798006681574,,,
8,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.04401022271911,,,
9,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0697316572759936,,,
10,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.9606065371956434,,,
11,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.1790129797469,,,
12,2007,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.36221450169434,,,
1,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.183901727292893,,,
2,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.1684466380994434,,,
3,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0106881218395865,,,
4,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.278282933849602,,,
5,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.034650988573768,,,
6,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.021298911502703,,,
7,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.7890937304991095,,,
8,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.2912069604302854,,,
9,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.1371166370387917,,,
10,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.088627951015437,,,
11,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.023713378757393,,,
12,2008,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.9673935956120827,,,
1,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.8609661940910813,,,
2,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.9815395247675514,,,
3,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.9919083344286332,,,
4,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0274114488385058,,,
5,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0748214669899996,,,
6,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0042609098394277,,,
7,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.9232309197345465,,,
8,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.863147863843577,,,
9,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.916329614115103,,,
10,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.6064627991023057,,,
11,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.785861674974245,,,
12,2009,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.3969082144744833,,,
1,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.1677092840248164,,,
2,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.2977301622111765,,,
3,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.152525701651161,,,
4,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.057205774667408,,,
5,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.2783270405852303,,,
6,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0425188771678853,,,
7,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,1.3294114365811573,,,
8,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0936496642327342,,,
9,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.09435322045469,,,
10,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.1770339858234817,,,
11,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,2.908749387499205,,,
12,2010,Enbridge Pipelines (NW) Inc.,Norman Wells Pipeline,Zama,59.067,-118.852,south,intracanada,domestic light,3.0046691660874885,,,
