Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
3,2011,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,7.235688889,,28.6,
6,2011,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,11.590673727999999,,28.6,
9,2011,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,10.582283378000001,,28.6,
12,2011,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,9.766890614000001,,28.6,
3,2012,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,11.56311047,,28.6,
6,2012,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,10.22601099,,28.6,
9,2012,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,11.287542523,,28.6,
12,2012,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,9.969661051,,28.6,
3,2013,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,11.074137417,,28.6,
6,2013,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,14.939956612,,28.6,
9,2013,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,18.609070666,,28.6,
12,2013,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,16.476542438,,28.6,
3,2014,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,19.672105844,,28.6,
6,2014,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,21.444559933999997,,28.6,
9,2014,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,15.323955524,,28.6,
12,2014,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,16.918579379,,28.6,
3,2015,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,14.55761249,,28.6,
6,2015,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,14.967569725,,28.6,
9,2015,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,18.997647868,,28.6,
12,2015,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,17.641036705999998,,28.6,
3,2016,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,20.610158582999997,,28.6,
6,2016,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,21.054215297000002,,28.6,
9,2016,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,19.492457042,,28.6,
12,2016,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,17.34921017,,28.6,
3,2017,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,25.481900003,,28.6,
6,2017,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,24.352681317000002,,28.6,
9,2017,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,17.592434781,,28.6,
12,2017,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,18.782880437,,28.6,
3,2018,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,25.107577776,,30.1,
6,2018,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,25.825879121,,32.1,
9,2018,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,19.027032606,,34.1,
12,2018,Enbridge Southern Lights GP Inc.,Southern Lights Pipeline,system,,,north-west,import,diluent,11.023597826,,36.1,
