Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3342.3,127007.40000000001
2,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4161.4,158133.19999999998
3,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3917.0,148846.0
4,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4558.09,173207.42
5,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,5522.89,209869.82
6,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3389.54,128802.52
7,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3234.17,122898.46
8,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3541.37,134572.06
9,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3367.93,127981.34
10,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4908.22,186512.36000000002
11,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3040.88,115553.44
12,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,1343.9,51068.200000000004
13,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,1996.6,75870.8
14,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3365.8,127900.40000000001
15,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4833.72,183681.36000000002
16,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,5774.97,219448.86000000002
17,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,5626.66,213813.08
18,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4573.57,173795.65999999997
19,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3768.01,143184.38
20,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3559.12,135246.56
21,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,3500.32,133012.16
22,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4116.69,156434.21999999997
23,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,5769.95,219258.1
24,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4532.32,172228.15999999997
25,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,4124.22,156720.36000000002
26,1,2006,Trans Québec & Maritimes Pipeline Inc,Trans Québec & Maritimes Pipeline,East Hereford,45.033,-71.5,south,export,5600.0,5293.83,201165.54
