Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
1,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,34.45161290322581,,,
2,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,34.82142857142857,,,
3,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,33.806451612903224,,,
4,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,27.166666666666668,,,
5,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,27.419354838709676,,,
6,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,33.46666666666667,,,
7,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,35.193548387096776,,,
8,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,33.29032258064516,,,
9,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,35.6,,,
10,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,36.58064516129032,,,
11,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,37.233333333333334,,,
12,2006,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,35.96774193548387,,,
1,2007,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,34.61290322580645,,,
2,2007,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,30.857142857142858,,,
3,2007,Trans-Northern Pipelines Inc.,Trans-Northern,system,,,not available,intracanada,refined petroleum products,33.29032258064516,,,
