Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,13225.721,506673.8
2,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,14005.258,536406.6
3,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15760.942,602832.9
4,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,14516.004,555106.0
5,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,13030.083,499324.8
6,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,12246.62,469489.6
7,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,12890.387,493021.5
8,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,14886.761,568963.3
9,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,14795.095,564844.1
10,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15671.791,599048.2
11,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15627.679,597298.3
12,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16062.88,614108.0
13,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15157.156,580628.1
14,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15073.485,577818.4
15,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16055.545,615399.4
16,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16136.76,617714.7
17,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15220.886,583244.1
18,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15186.438,581733.8
19,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16362.839,626500.3
20,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15602.463,599026.2
21,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15771.653,605073.1
22,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15096.844,577753.1
23,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15346.546,586536.2
24,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,14758.865,564512.2
25,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,15668.288,598983.6
26,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16680.515,638613.3
27,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16698.214,640265.5
28,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16178.491,619071.0
29,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16348.576,627016.4
30,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,14709.914,563049.3
31,1,2006,Westcoast Energy Inc.,BC Pipeline,FortisBC Lower Mainland,49.0034,-122.22,west,intracanada,48214.0,16562.096,634594.6
