Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Nameplate Capacity (1000 m3/d),Available Capacity (1000 m3/d),Reason For Variance
1,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.3277451767419355,,39.33352412000009,
1,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,22.106713481290328,,39.33352412000009,
1,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.40202929683871,,39.33352412000009,
2,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.3306146459285714,,39.33352412000008,
2,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,23.12204453464286,,39.33352412000008,
2,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.577781260428573,,39.33352412000008,
3,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.30769222874193547,,39.33352412000009,
3,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,20.904505912258063,,39.33352412000009,
3,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,westspur midale (msm) crude,6.662753521064517,,39.33352412000009,
4,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,natural gas liquids (ngl),0.3064644344666666,,39.33352412000009,
4,2017,TEML Westpur Pipelines Limited (TEML),Westpur Pipeline,system,,,not available,intracanada,south east sask (ses) crude,21.994567925000002,,39.33352412000009,
